Customer message,Our response
May I have more info?,"With pleasure, you can check this out https://www.lafelicita.fr/"
What are your opening hours?,"We are open from 9 AM to 9 PM, Monday to Saturday."
Do you offer vegan options?,"Yes, we have a variety of vegan dishes available on our menu."
Can I make a reservation online?,"Absolutely, you can book a table through our website."
Is there parking available?,"Yes, we have a parking lot available for our customers."
Do you have gluten-free options?,"Certainly, we offer several gluten-free dishes."
What is your return policy?,"You can return any item within 30 days of purchase with a receipt."
How can I track my order?,"You can track your order using the tracking link sent to your email."
Are there any discounts for students?,"Yes, we offer a 10% discount for students with a valid ID."
Can I change my order after placing it?,"Please contact our support team as soon as possible to make changes."